Image Filename,Caption,Cleaned Caption
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_0.jpeg,Waddle you know its #WorldPenguinDay!   There are 18 known species of penguins in the world today. Some call snowy Antarctica home while others live further north in relatively warmer climates. But they all share a similar dark and light coloration distinctive waddle and special adaptations for life in the ocean!   Learn more about penguins with the #linkinbio!  #PenguinDay #Penguins #Seabirds #Ocean #MarineLife,waddle you know its #worldpenguinday there are 18 known species of penguins in the world today some call snowy antarctica home while others live further north in relatively warmer climates but they all share a similar dark and light coloration distinctive waddle and special adaptations for life in the ocean learn more about penguins with the #linkinbio #penguinday #penguins #seabirds #ocean #marinelife
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_1.jpeg,The ocean is full of incredible creatures  and some of them have the funniest faces! Swipe through for a close-up look at some of these wild ocean animals. Which one is your favorite?,the ocean is full of incredible creatures and some of them have the funniest faces swipe through for a closeup look at some of these wild ocean animals which one is your favorite
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_2.jpeg,#BREAKING: POTUS has just permanently protected the East Coast West Coast and eastern Gulf of Mexico from future offshore drilling. This is a major step to safeguard the United States coasts from dirty and dangerous oil and gas.Learn more about this historic action to #ProtectOurCoast with the #linkinbio.,#breaking potus has just permanently protected the east coast west coast and eastern gulf of mexico from future offshore drilling this is a major step to safeguard the united states coasts from dirty and dangerous oil and gaslearn more about this historic action to #protectourcoast with the #linkinbio
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_3.jpeg,HEARTBREAKING: A dwarf sperm whale calf washed ashore in September on a Florida beach. It was found to have a large plastic bag in its stomach and associated ulcers. Sadly this baby whale had to be euthanized due to its condition. Too many marine animals are harmed by plastic pollution. Add your name to call for urgent action to reduce single-use plastics at the source and protect wildlife today with the #linkinbio. #BreakFreeFromPlastic,heartbreaking a dwarf sperm whale calf washed ashore in september on a florida beach it was found to have a large plastic bag in its stomach and associated ulcers sadly this baby whale had to be euthanized due to its condition too many marine animals are harmed by plastic pollution add your name to call for urgent action to reduce singleuse plastics at the source and protect wildlife today with the #linkinbio #breakfreefromplastic
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_4.jpeg,We re taking the Trump administration to court to protect our oceans from dirty offshore drilling! Oceana and our allies are suing the Trump administration challenging an order that revokes ocean protections and opens vast areas to offshore drilling. The lawsuit seeks to reinstate safeguards for millions of acres of ocean along the Atlantic Pacific Gulf and Alaska coasts emphasizing the need to protect ocean wildlife marine habitat and coastal communities This legal action marks a significant stand against policies that prioritize fossil fuel expansion over environmental conservation. President Trump does not have the authority to destroy our oceans in this way and Oceana is fighting to ensure he does not. Read more with our full press release. Link in bio. #ProtectOurCoast EarthJustice lcvoters defendersofwildlife sierraclub nrdc_org centerforbiodiv thenortherncenter Greenpeace keepalaskawild surfrider healthygulf turtleislandrestorationnetwork,we re taking the trump administration to court to protect our oceans from dirty offshore drilling oceana and our allies are suing the trump administration challenging an order that revokes ocean protections and opens vast areas to offshore drilling the lawsuit seeks to reinstate safeguards for millions of acres of ocean along the atlantic pacific gulf and alaska coasts emphasizing the need to protect ocean wildlife marine habitat and coastal communities this legal action marks a significant stand against policies that prioritize fossil fuel expansion over environmental conservation president trump does not have the authority to destroy our oceans in this way and oceana is fighting to ensure he does not read more with our full press release link in bio #protectourcoast earthjustice lcvoters defendersofwildlife sierraclub nrdc_org centerforbiodiv thenortherncenter greenpeace keepalaskawild surfrider healthygulf turtleislandrestorationnetwork
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_5.jpeg,You OTTER believe it - #SeaOtterAwarenessWeek is here!  Unlike many marine mammals the sea otter doesnt have blubber to keep warm. Instead it has super super thick fur - some of the densest in the whole animal kingdom! The sea otters coat has two layers which traps air against the otters skin keeping it warm dry and buoyant. But this fur can also pose major challenges for sea otters. These mammals were nearly hunted to extinction for their pelts until the turn of the 20th century. And while their populations have seen some recovery sea otters still face serious threats including oil pollution and habitat loss. Stand up for sea otters with a symbolic adoption today! All donations help power Oceana s campaigns to protect these incredible animals from the threat of dirty offshore drilling while also helping preserve the habitat they and so many other creatures call home. Link in bio.  : Shutterstock,you otter believe it #seaotterawarenessweek is here unlike many marine mammals the sea otter doesnt have blubber to keep warm instead it has super super thick fur some of the densest in the whole animal kingdom the sea otters coat has two layers which traps air against the otters skin keeping it warm dry and buoyant but this fur can also pose major challenges for sea otters these mammals were nearly hunted to extinction for their pelts until the turn of the 20th century and while their populations have seen some recovery sea otters still face serious threats including oil pollution and habitat loss stand up for sea otters with a symbolic adoption today all donations help power oceana s campaigns to protect these incredible animals from the threat of dirty offshore drilling while also helping preserve the habitat they and so many other creatures call home link in bio shutterstock
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_6.jpeg,Today the Trump administration issued layoffs to NOAA employees. These roles are essential to maintaining a healthy ocean in the United States. They keep fisheries healthy protect endangered animals like whales and turtles and support critical scientific research. Without them America s oceans Great Lakes and coastal economies will suffer severe consequences. NOAA is a critical tool for protecting our oceans and its up to us to defend it. Contact your U.S. representatives to tell them to push back & stand up for NOAA today. Link in bio.,today the trump administration issued layoffs to noaa employees these roles are essential to maintaining a healthy ocean in the united states they keep fisheries healthy protect endangered animals like whales and turtles and support critical scientific research without them america s oceans great lakes and coastal economies will suffer severe consequences noaa is a critical tool for protecting our oceans and its up to us to defend it contact your us representatives to tell them to push back stand up for noaa today link in bio
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_7.jpeg,Happy #WorldTurtleDay!   Sea turtles roamed the planet back when dinosaurs were still alive!   Today there are seven species of sea turtles around the world six of which are found in U.S. waters.You can celebrate sea turtles with a symbolic adoption today! Your donation helps power our campaigns to protect these special creatures and others from threats like habitat loss destructive fishing practices and plastic pollution. Link in bio. #SeaTurtle #Turtles #Ocean #OceanWildlife #StandForOceans,happy #worldturtleday sea turtles roamed the planet back when dinosaurs were still alive today there are seven species of sea turtles around the world six of which are found in us watersyou can celebrate sea turtles with a symbolic adoption today your donation helps power our campaigns to protect these special creatures and others from threats like habitat loss destructive fishing practices and plastic pollution link in bio #seaturtle #turtles #ocean #oceanwildlife #standforoceans
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_8.jpeg,Happy #MothersDay to all mothers out there wherever you may be!   The oceans are home to some pretty dedicated animal moms. But these oceanic mothers need clean and healthy oceans to survive and raise their families! Join Oceana to help make oceans safer for marine moms & all ocean life with the #linkinbio.,happy #mothersday to all mothers out there wherever you may be the oceans are home to some pretty dedicated animal moms but these oceanic mothers need clean and healthy oceans to survive and raise their families join oceana to help make oceans safer for marine moms all ocean life with the #linkinbio
Posts_oceana_18_Apr_2024_17_Apr_2025_f49c_CLEANED_9.jpeg,The narwhal is so strikingly unique it almost seems like a mythical creature at times.  This excerpt from Katherine Rundell s new book  Vanishing Treasures: A Bestiary of Extraordinary Endangered Creatures  explores the extraordinary reality of the narwhal as well as the all-too-real threats it faces. Our oceans are full of fascinating and awe-inspiring creatures like the narwhal and it s up to us all to protect this wildlife and the waters they call home. Narrator: Lenny Henry,the narwhal is so strikingly unique it almost seems like a mythical creature at times this excerpt from katherine rundell s new book vanishing treasures a bestiary of extraordinary endangered creatures explores the extraordinary reality of the narwhal as well as the alltooreal threats it faces our oceans are full of fascinating and aweinspiring creatures like the narwhal and it s up to us all to protect this wildlife and the waters they call home narrator lenny henry
