Caption,Image Link,Eng. Rate by Followers,Date,Type,Image Filename
Want to save money DOGE? Stop giving billions to fossil fuels. #StandForScience,https://imgs.socialinsider.io/instagram/2025/03/climatereality_18075746188685998.jpeg,2.75802,2025-03-22 16:00:00,IMAGE,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_0.jpeg
We can t afford to backtrack on progress. The science is clear the solutions are here but we need you. As the US withdraws from the Paris Agreement we must push forward. Join the Climate Reality Leadership Corps and discover upcoming trainings and events in 2025. Together we can ignite bold climate ambition and real action to address the climate crisis. Find a training near you and sign up today. Link in our bio.,https://imgs.socialinsider.io/instagram/2025/01/climatereality_18048185191954975.jpeg,1.91462,2025-01-20 21:10:00,IMAGE,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_1.jpeg
Rejoining the Paris Agreement making the biggest climate investment in history cleaning up our air creating good jobs and putting us on the path to a clean energy future. Thank you potus for delivering on climate.#LeadonClimate #ActonClimate #ClimateAction #POTUS #Biden,https://imgs.socialinsider.io/instagram/2024/07/climatereality_17932548821897773.jpeg,1.79567,2024-07-22 21:50:00,IMAGE,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_2.jpeg
Hope isn t waiting or wishing it s truth told action taken and change demanded. As Greta Thunberg reminds us hope doesn t come from power it comes from people who refuse to stand still. The future is ours to shape. #ActOnClimate,https://imgs.socialinsider.io/instagram/2024/12/climatereality_18045354784956733.jpeg,1.12375,2024-12-17 23:00:00,IMAGE,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_3.jpeg
The election is over. Our work begins. As realDonaldTrump outlines plans to rollback climate action we re prepared to counter every attack possible. We ve stood resilient against denial before and now we re more determined than ever to continue pushing harder to achieve lasting just climate solutions and a transition to clean energy. #ActOnClimate,https://imgs.socialinsider.io/instagram/2024/11/climatereality_18077814745502021.jpeg,1.0355,2024-11-09 17:00:00,IMAGE,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_4.jpeg
With billions now being invested in a clean energy future now s the time to up your game. Get the tools you need with ClimateReality s training. Don t wait register today in the link in bio before the September 29 deadline!,https://imgs.socialinsider.io/instagram/2024/09/climatereality_18079563622538230.jpeg,0.97677,2024-09-25 19:43:00,reel,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_5.jpeg
Lets consider that for a moment. Climate change isnt just an environmental and human rights issue   its an economic one too. Inaction now means we pay later and the impact is far worse. One thing you can do today? Sign our action telling G20 nations it s time to take real #climateaction and end funding for fossil fuels: https://bit.ly/G20Subsidies or click the link in our bio.,https://imgs.socialinsider.io/instagram/2024/06/climatereality_18039902806896714.jpeg,0.89533,2024-06-01 23:08:00,CAROUSEL_ALBUM,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_6.jpeg
Huge climate win alert  ! As one of his final #actonclimate efforts President Biden is protecting more than 670 million acres of US lands and waters from oil and gas development. He issued two presidential memoranda to protect the US Outer Continental Shelf off the East and West Coasts the eastern Gulf of Mexico and parts of Alaskas northern Bering Sea from future oil and gas leasing. Now that s a legacy. potusClick the link in our bio to learn more!!,https://imgs.socialinsider.io/instagram/2025/01/climatereality_17880335013127625.jpeg,0.8316,2025-01-08 01:38:00,IMAGE,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_7.jpeg
Our founder AlGore unveiled the latest data for Climate TRACE at #COP29  a tech-driven tool to track emissions at the source uncover co-pollutants harming health and provide monthly emissions estimates. These advancements are crucial for accurately and swiftly tackling climate change. #OntheGroundCOP29,https://imgs.socialinsider.io/instagram/2024/11/climatereality_18044171653920313.jpeg,0.78496,2024-11-15 19:04:00,reel,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_8.jpeg
Spot the difference? The presidents executive order to prop up the coal industry will mean more climate pollution   and higher electricity bills. Today it costs more to keep 99% of US coal plants running than build new solar or wind energy. #StopFundingFossilFuels #CleanEnergy #ActOnClimate,https://imgs.socialinsider.io/instagram/2025/04/climatereality_18075942526773980.jpeg,0.76638,2025-04-09 01:12:00,IMAGE,Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_9.jpeg
