Caption,Image Link,Eng. Rate by Followers,Date,Type
So turns out he’s the savior of Christmas??...and the ultimate underconsumption hero 🎄✨Content credit: sabrinaa_pare #grinch #saveschristmas #earth #eco #underconsumption #hero #christmas,https://imgs.socialinsider.io/instagram/2024/12/earthdaynetwork_17877350595220271.jpeg,4.50046,2024-12-24 03:07 PM,CAROUSEL_ALBUM
There’s something about a powerful quote set against the beauty of Earth’s landscapes that really hits us right in the feels. It’s the perfect reminder to take action and appreciate the world around us.We ❤️ the Big Blue.— EARTHDAY.ORG 🌍#OurPowerOurPlanet #EarthActionDay #collectiveaction Repost via ofhousesandtrees.com Author: Larissa Swayze 📸 credits: Photo 1: “If you really think the economy is more important than the environment try holding your breath whilst you count your money.” – Dr Guy McPherson (Image Credit: Pinterest)Photo 2: “When we destroy something created by man we call it vandalism but when we destroy something by nature we call it progress.”- Ed Begley Jr (Image Credit: Pinterest)Photo 3: “The earth does not belong to man. Man belongs to the earth.” – Chief Seattle (Image Credit: Pinterest)Photo 4: “I don’t want to protect the environment. I want to create a world where the environment doesn’t need protecting.” – Unknown (Image Credit: Pinterest)Photo 5: “UNLESS someone like you cares a whole awful lot nothing is going to get better. It’s not.” – Dr Suess (Image Credit: Pinterest),https://imgs.socialinsider.io/instagram/2025/04/earthdaynetwork_18019015538505708.jpeg,1.43846,2025-04-09 08:45 PM,CAROUSEL_ALBUM
👗🌍 Ever wonder where your clothes go when you’re done with them?Every year millions of tons of fashion waste from the Global North overwhelm countries in the Global South.Kenya alone receives over 220000 tons—much of it too damaged to wear or resell. Fast fashion isn’t made to last but its impact does.♻️ Legislation is key to fixing fashion’s biggest problems—stay informed with EARTHDAY.ORG’s new legislation tracker (link in bio)! And follow chemiteijanet and earthdaynetwork for more content on fashion waste sustainability and more!,https://imgs.socialinsider.io/instagram/2025/02/earthdaynetwork_18058735171836333.jpeg,1.21793,2025-02-18 02:50 PM,reel
Even when the challenges feel huge taking action is one of the most powerful ways to drive change.56 years after the first Earth Day vital protections are being rolled back clean energy is stalling and profits are prioritized over people and the planet.This isn’t just politics—it’s about our health our future and our right to a livable world.We’ve made change before and we can do it again. Let’s rise together.🌍 Take action—visit the Earth Day 2025 link in bio. What are your plans for Earth Day? 🌱 #EarthActionDay #OurPowerOurPlanet #earthday2025 #earthday #collectiveaction #takeaction #action,https://imgs.socialinsider.io/instagram/2025/04/earthdaynetwork_17972737034713961.jpeg,1.18117,2025-04-04 10:58 PM,CAROUSEL_ALBUM
The fashion industry especially fast fashion has operated with little oversight for decades leading to severe environmental damage—from pollution to deforestation and oceanic microplastic contamination. Human rights abuses like labor exploitation and unsafe working conditions are rampant across supply chains.👕 The average person buys 53 new pieces of clothing every year—enough to dress the next six generations. Let that sink in.Whats missing? Accountable data-driven policies to break the cycle of overconsumption.Its time for #FashionLegislationNow. Explore our new report on the laws in progress—and those still needed—for meaningful change in the fashion sector. Link in bio🔗🔄:futureearth (📸 still via: Buy Now on netflix ),https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18053353514019129.jpeg,1.14366,2025-01-20 05:45 PM,IMAGE
Oil and gas CEOs know they’re causing disasters yet they fight clean energy spread lies and bribe politicians to keep $757 BILLION in fossil fuel subsidies. How much longer will we let this happen?🔄: sunrisemvmt #EndFossilFuelSubsidies #ActOnClimate,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18102142951483328.jpeg,1.02773,2025-01-08 09:18 PM,IMAGE
When governments fall short leaders like Michael Bloomberg step up. 🌍 By funding the U.N. climate body (UNFCCC) after Trump’s withdrawal from the Paris Agreement Bloomberg ensures that vital climate talks and progress continue.“We deeply appreciate the generous support from Bloomberg Philanthropies and the leadership shown by Mike Bloomberg” said Simon Stiell U.N. climate chief. Last year Bloomberg Philanthropies contributed $4.5 million to the UNFCCC supporting a core budget of 240 million euros for 2024-2025. As U.S. federal action falters Bloomberg’s leadership highlights the power of private philanthropy to fill the gap and keep global climate goals alive. This isnt just about funding—its about action. Cities states businesses and individuals must come together to ensure a sustainable future. 📊 👉 Feeling overwhelmed? Stand up. Speak up. Show up. What will you do to protect our planet?Visit EARTHDAY.ORG today. #ClimateAction #Sustainability #Leadership #GlobalGoals #EarthDay2025 #renewableenergynow #ourpowerourplanet,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_17998037099586854.jpeg,1.00308,2025-01-23 09:25 PM,IMAGE
Trump’s decision to reverse the phase-out of plastic straws for paper alternatives isn’t just environmentally reckless—it’s a direct threat to human health. 🌍Plastic straws contribute to the 8 million tons of plastic waste polluting our oceans each year threatening marine life and ecosystems. But the damage doesn’t stop at wildlife—microplastics have made their way into our water food and even our bodies. A study in Nature Medicine found elevated concentrations of microplastics in human brains raising alarms about their potential link to neurological diseases. Research from the University of New Mexico Health Sciences reveals brain plastic levels have surged by 50% over the past 8 years with dementia patients showing up to 10 times the levels found in others. There’s enough plastic in our brains to form a straw. As toxicologist Matthew Campen said “These nanomaterials could interfere with brain connections and may even contribute to dementia.By promoting plastic straws Trump is ignoring science and prioritizing convenience over public health. The risks are real and this decision threatens future generations. At this point his brain should come with a BPA warning ⚠️Take action—sign the Global Plastics Treaty petition through the link in our bio🔗,https://imgs.socialinsider.io/instagram/2025/02/earthdaynetwork_18083995183600075.jpeg,0.66161,2025-02-11 12:54 AM,CAROUSEL_ALBUM
Rethinking invasive The way we treat nature shows what we value. This image is a reminder that our planet’s future depends on our choices. It’s time to step up. Take action today and join us for Earth Day 2025. Link in bio. 🔗*WE DO NOT OWN THE RIGHTS TO THIS IMAGE*,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18010350950696225.jpeg,0.65764,2025-01-30 07:46 PM,IMAGE
We work year-round to protect our planet—but we can’t do it alone. We need your help today and every day. Take action for Earth Day 2025. Link in bio #EarthDayEveryDay #TakeAction #LoveEarth #ProtectOurPlanet #OurPowerOurPlanet #EarthActionDay #collectiveaction #earth,https://imgs.socialinsider.io/instagram/2025/04/earthdaynetwork_18070910800895213.jpeg,0.64075,2025-04-13 04:44 PM,reel
President Biden has permanently banned offshore oil and gas drilling in 625 million acres of U.S. ocean protecting Atlantic Pacific and Gulf Coast ecosystems. This decision safeguards marine life and coastal communities from the risks of drilling.While some debate the economic impact experts say it won’t affect oil production significantly but it strengthens environmental health and coastal resilience.This move proves we can protect our planet while securing a sustainable future. Let’s keep pushing for cleaner safer energy! Sign the renewable energy now petition with the link in our bio 🔗 #RenewableEnergyNow #OurPowerOurPlanet #POTUS,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18053179505290498.jpeg,0.58966,2025-01-07 09:42 PM,CAROUSEL_ALBUM
