Caption,Image Link,Eng. Rate by Followers,Date,Type
Microplastics are EVERYWHERE.They’ve been found in food water our bodies and even in clouds…Scientists are only beginning to understand the long-term effects of plastic on human health but one thing is clear: the only way to stop microplastic pollution is to cut plastic production at the source.Tell world leaders: We need a strong ambitious Global #PlasticsTreaty NOW!Tap the link in our bio to sign the petition! ✍️#breakfreefromplastic #microplastics #plastic #memes #climatecrisis #plasticpollution #realsolutions #plasticfree #zerowaste #reuse #refill,https://imgs.socialinsider.io/instagram/2025/03/greenpeace_17842360755446255.jpeg,2.12546,2025-03-13 11:48 AM,CAROUSEL_ALBUM
REMINDER: There is NO safe way to transport oil and gas.When oil companies drill they spill.Yesterday a monumental collision between a cargo ship and an oil tanker occurred in the North Sea—bad news for the sea wildlife and air around it. What we don’t yet know is just how bad it will be.Fossil fuel explosions collisions leaks and fires are poisoning our air land and seas. It’s impossible to fully clean up an oil spill and ecosystems never completely recover.While greedy corporations and billionaire CEOs line their pockets they endanger workers push up household costs and destroy the ecosystems life depends on.It’s time to hold them to account and make them pay for the damage they’ve done.Take action via the link in our bio @‌greenpeace#StopDrillingStartPaying #shipcollision #stenaimmaculate #solong #northsea #fuelspill #oilspills #climatecrisis #biodiversitycrisis #marinelife #pollution,https://imgs.socialinsider.io/instagram/2025/03/greenpeace_18485783563024581.jpeg,1.8955,2025-03-11 01:04 PM,CAROUSEL_ALBUM
The death toll continues to rise after the worst flash floods in three decades swept through Spains Valencia region.More than 100 people have already lost their lives and dozens in eastern and southern Spain remain missing.The images barely capture the overwhelming grief for the lives lost but they reveal the scale of this unfolding tragedy in homes cities and communities around the world.As greenpeace_esp comrades say: when we talk about the climate crisis it often feels abstract distant from our everyday lives. But climate change is right here with extreme weather events like this one bringing escalating devastation. Turning a blind eye isn’t just risky—it costs lives.Amor y solidaridad to all people who are affected by extreme weather events in Spain and elsewhere in the world 💔​It’s time to #MakePollutersPay and take serious measures to protect people against extreme weather events. Fossil fuel companies driving climate chaos must #StopDrillingStartPaying.📸​: greenpeace_esp © Greenpeace / Gabriel Gallo#spain #españa #valencia #floods #flashfloods #extremeweather #climatecrisis #livesbeforeprofits,https://imgs.socialinsider.io/instagram/2024/10/greenpeace_18062791678756537.jpeg,1.89567,2024-10-31 01:16 PM,CAROUSEL_ALBUM
PSA to Jeff Bezos: ⁠⁣Women are being hit the hardest by the impacts of the climate crisis...maybe if you paid your taxes we could spend that money fixing the chaos faced by ordinary people instead of making it worse.⁠⁣⁠⁣As the planet burns and the rich grow richer the link between inequality and environmental destruction becomes undeniable.⁣⁣The money exists...lets get it working for everyone not just the super-rich. ⁣⁣Sign our petition to tax the super rich now! (LinkedInBio)⁣⁣Regram from GreenpeaceUK#TaxTheSuperRich,https://imgs.socialinsider.io/instagram/2025/04/greenpeace_18054922166330525.jpeg,1.86807,2025-04-16 03:06 PM,reel
Stop scrolling‼️ Take a moment to watch this. To really watch it. Forget about borders. Forget about your ideologies your conspiracy theories. Forget about your in groups and your out groups.⁣⁣Just watch the water rise. Listen to the wind.⁣⁣Think about what it would feel like to try to flee from this – and how it would feel to be overwhelmed by it.⁣⁣Who would you lose? Family members? Friends? Pets? Beloved spaces you grew up in are attached to?⁣⁣Your life?⁣⁣This climate boiled monster of a hurricane that made meteorologists CRY on live TV is happening on our planet to human beings and animals and ecosystems.⁣⁣And there are very. clear. reasons. for. it. None of which have to do with weather modification machines – unless by that you’re referring to oil rigs or clear cut mass cattle ranches or plastic production factories etc etc…⁣⁣People are losing their lives their loved ones and their homes.⁣⁣How many more times are we going to let this happen?⁣⁣This is your planet. These are your neighbours.⁣⁣The fossil fuel companies the billionaires and the politicians who snuggle up to them are taking it all away.⁣⁣On a scale of 1 to revolution how mad does it make you?⁣⁣It’s time to let our anger boil over with the same force as this storm.⁣⁣We are many. They are few. Never forget.⁣⁣#StopDrillingStartPaying ⁣⁣via greenpeace_canada⁣🎥 max_olson_chasing (Note: This is footage from Hurricane Ian 2022) ⁣#MakePollutersPay #PayUp #ClimateCrisis #ClimateEmergency #HurricaneIan #Hurricane #Florida ⁣,https://imgs.socialinsider.io/instagram/2024/10/greenpeace_18105950722428910.jpeg,1.29572,2024-10-11 10:59 AM,reel
Arctic glaciers dwindling over the years as the global climate deteriorates 💔.Check out stories from around the world on www.greenpeace.org/international for a photographers perspective on capturing these heartbreaking images. .And hit the link in our bio to add your name to #protecttheoceans,https://imgs.socialinsider.io/instagram/2024/11/greenpeace_18038520713008528.jpeg,1.22203,2024-11-10 03:05 PM,CAROUSEL_ALBUM
Blue Origin space flight: Who wants to see a petition for an Earth re-entry tax? 🙋While billionaires blast their celebrity friends into space…Millions can’t afford groceries clean water heating education or healthcare. Public services are crumbling. Communities are being torn apart by climate disasters.Don’t believe the lie that “there’s not enough money” to solve our global crises.There is enough — it’s just hoarded by the ultra-rich who pollute exploit and live in luxury while others suffer.It’s time to stop the joyrides.It’s time to stop the greed.It’s time to #TaxTheSuperRich for a just green future.Link in bio#blueorigin #spacetourism #spacetravel #luxuryemissions #jeffbezos #katyperry #space #billionaires #taxtherich #fightinequality #livesbeforeprofits #climatecrisis #extremeweater,https://imgs.socialinsider.io/instagram/2025/04/greenpeace_17871357495342245.jpeg,1.19611,2025-04-15 12:53 PM,CAROUSEL_ALBUM
The news cycle is tremendously disheartening—wars and genocide misinformation the rise of the far right soaring living costs and inequality activists and citizens threatened or persecuted for their ideas ecological setbacks. It’s heavy.But don’t lose sight of the fact that it isn’t too late. And don’t forget: we are many and they are few. Together we can fight the ultra-rich and the big polluters ✊It’s time to organise and put people and the planet before billionaires’ and big polluters’ profits. Mutual aid community education love and empathy—this is what we need most right now 💚🎨 via greenpeace_canada & earthlyeducation #climatecrisis #fightinequality #farright #hardtimes #peoplepower #hopeinaction #taxtherich #livesbeforeprofits,https://imgs.socialinsider.io/instagram/2025/03/greenpeace_17876678031283192.jpeg,1.13682,2025-03-28 12:00 PM,CAROUSEL_ALBUM
Greenpeace calls for an immediate end to the Israeli governments ongoing attacks on #Rafah. ⁣⁣The International Court of Justice’s ruling must be followed. The tanks must be replaced by trucks carrying vital aid. A #ceasefirenow is the only way to ensure there is no repeat of the horrific events of this weekend.⁣⁣We call an immediate release of all hostages and end to the blockades on the supply of food water medicine and fuel to the citizens of #Gaza. We call for the release of all illegally detained civilians.⁣⁣Beyond the urgent need to end the civilian suffering and ecological devastation all parties must resume peaceful negotiations towards a lasting peace built on safety justice and equal rights for all.⁣⁣Violence is never the answer.,https://imgs.socialinsider.io/instagram/2024/05/greenpeace_18020087690214651.jpeg,1.11798,2024-05-28 04:05 PM,IMAGE
It’s one big club and you’re not in it.⁠⁠It’s time to tax the billionaires to save our planet. Click the link on our bio to take action #TaxTheSuperRich,https://imgs.socialinsider.io/instagram/2025/01/greenpeace_18051216881111026.jpeg,1.10489,2025-01-24 03:13 PM,CAROUSEL_ALBUM
