Caption,Image Link,Eng. Rate by Followers,Date,Type,Image Filename
In 2024 coal-power output in the US fell to its lowest level in 50 years according to new analysis by the Rhodium Group.  As the first chart shows for the first time ever the combined output from solar and wind surpassed coal in the US electricity mix.  Transport remained the highest-emitting sector in the US with a 0.8% increase in emissions driven by post-pandemic rebounds in jet fuel and petrol consumption (see the second chart) However despite coal-power hitting a 60-year low greenhouse gas emissions barely budged in 2024   falling just 0.2%.Currently the US  is not on track to meet either its 2030 Paris Agreement target of a 50-52% reduction in emissions relative to 2005 levels or its newly set 2035 goal of a 61-66% reduction.As the third chart shows to bridge the gap between the current US trajectory and its stated goals would require an average emissions reduction of 7.6% every year from 2025 through to 2030. This would be more than two-thirds of the drop seen as a result of Covid lockdowns in 2020.Click the link in our bio for more on the Rhodium analysis.#USEmissions #ParisAgrement #Emissions #Decarbonisation,https://imgs.socialinsider.io/instagram/2025/01/carbonbrief_17998547144572942.jpeg,7.34035,2025-01-10 17:36:00,CAROUSEL_ALBUM,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_0.jpeg
The UK s greenhouse gas emissions fell by 3.6% in 2024 according to new Carbon Brief analysis.As the chart in slide 2 shows this is the UK s lowest annual emissions since 1872 and on par with 1926 when there was a general strike. In 1872 Queen Victoria was on the throne and Wanderers beat Royal Engineers in the first-ever FA Cup final held at Kennington Oval in south London.  Coal use also dropped to the lowest level since 1666 the year of the Great Fire of London.Key drivers of declining emissions include...  Closing of the UK s last coal-fired power station  A nearly 40% rise in electric vehicles  Above-average temperatures  Record renewables in electricity mix  But the UK would still need to cut its emissions by a larger amount each year than it did in 2024 to reach its international climate goal for 2035 as well as its national target to reach net-zero by 2050.Click the link in our bio to read the full analysis.#UKpolicy #EnergyTransition #CoalPower #Renewables,https://imgs.socialinsider.io/instagram/2025/03/carbonbrief_18040146317165340.jpeg,6.59921,2025-03-13 17:26:00,CAROUSEL_ALBUM,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_1.jpeg
The Climate Change Committee (CCC) says reducing UK emissions by 87% by 2040 would put the country on track for net-zero   and cut household bills by  1400.  Specifically the CCC recommends massive reduction of emissions from sectors such as surface transport building heat industry and the power sector historically the UK s largest polluters. As the lower chart in slide two shows by 2040 aviation and agriculture would be the UK s largest emitters. Even in 2050 these sectors would continue to have significant emissions.While reaching net-zero requires upfront investment the CCC says it would...  Boost energy security  Reduce reliance on fossil fuels  Lower long-term costs  By 2050 households could see energy bills drop by  700 and motoring costs fall by another  700.  As shown in the third slide the net-cost of the UK reaching net-zero is now also 73% lower than the CCC thought five years ago. The chart also shows the capital investments and operational savings that make up the net cost overall.Click the link in our bio for the full analysis of the latest CCC report.#ClimateChange #UKpolicy #NetZero #EnergyTransition,https://imgs.socialinsider.io/instagram/2025/02/carbonbrief_17842814595433185.jpeg,4.86311,2025-02-27 18:12:00,CAROUSEL_ALBUM,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_2.jpeg
A record surge of clean energy kept China s CO2 emissions below the previous year s levels in the last 10 months of 2024.  While China s CO2 output in 2024 grew by an estimated 0.8% year-on-year emissions were lower than in the 12 months to February 2024 as chart 1 shows.  Meanwhile clean-energy capacity growth is expected to accelerate in 2025 as large-scale wind solar and nuclear projects near completion. Chart 2 captures this expected growth which could generate more than 600TWh per year of electricity.  However another period of industrial demand growth driven by government stimulus efforts could slow down China s coal-power phaseout.Click the link in our bio for the full analysis.#Renewable #China #EnergyTransition #Emissions,https://imgs.socialinsider.io/instagram/2025/01/carbonbrief_18095693413508794.jpeg,4.10505,2025-01-28 16:54:00,CAROUSEL_ALBUM,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_3.jpeg
This year is now virtually certain to beat 2023 as the hottest year on record Carbon Brief analysis shows.  It will also be the first full year to surpass 1.5C above pre-industrial levels.  The chart shows Carbon Brief s estimate of where 2024 temperatures will end up according to different research groups based on the year to date and expected El Ni o-Southern Oscillation (ENSO) conditions in the tropical Pacific for the remainder of the year.  This analysis is based on records from five different research groups that report global surface temperature records: NASA s GISTEMP NOAA s GlobalTemp Hadley/UEA s HadCRUT5 Berkeley Earth and Copernicus/ECMWF.The dots reflect the best estimate while the whiskers show the two sigma (95%) confidence interval of the projections. The prior record year (2023 in all groups) is shown by the coloured square.In all cases the projected global average temperature for 2024 is virtually certain to exceed the prior record set in 2023.  Click the link in our bio to read the full analysis.#StateOfTheClimate #GlobalWarming #ClimateChange #ExtremeWeather,https://imgs.socialinsider.io/instagram/2024/11/carbonbrief_18206018812291279.jpeg,3.07255,2024-11-08 19:19:00,IMAGE,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_4.jpeg
Heatwaves around the world are becoming more frequent and intense because of human-caused warming. They are made even more severe in cities by the urban heat island (UHI) effect which traps heat in urban areas due to urban infrastructure such as:  closely packed buildings  heat-absorbing surfaces such as concrete  human activity such as driving carsCooler air from surrounding rural areas can reduce a city s temperature by more than 0.5C if land cover is optimised a new study has found giving recommendations such as:  joining up patches of rural land  planting more woodland  having fewer bigger lakesHigher urban temperatures lead to a  heat dome  forming over a city illustrated in the diagram above. The diagram shows how colder air (blue) from the neighbouring rural areas circulates into the urban centre exchanging with the hotter air (red).To learn more about how the rural  buffer ring  can help keep our cities cool click the link in our bio  #UrbanHeat #Cooling #Heatwave #Adaptation #ClimateChange,https://imgs.socialinsider.io/instagram/2024/08/carbonbrief_18027987482191091.jpeg,2.54128,2024-08-07 15:36:00,IMAGE,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_5.jpeg
In a scenario where emissions are not rapidly cut the world will likely exceed the Paris 1.5C limit in the late 2020s or early 2030s   rather than in the next few years according to Carbon Brief analysis.  The analysis uses both the latest global surface temperature data and climate model simulations.  Click the link in our bio to read the full analysis.  Global temperatures in 2023 blew past expectations to set the warmest year on record even topping 1.5C in one of the main datasets.This warmth has continued into 2024 meaning that this year is also on track to potentially pass 1.5C in one or more datasets.  However crossing 1.5C in one or even two years is not the same as exceeding the 1.5C limit under the Paris Agreement.  The goal is generally considered to refer to long-term warming rather than annual temperatures that include the short-term influence of natural fluctuations in the climate such as El Ni o.  Nonetheless recent warming has led to renewed debate around whether the world might imminently pass the 1.5C Paris Agreement limit   sooner than climate scientists and the IPCC have previously estimated.  #GlobalWarming #ClimateChange #ParisAgreement #ClimateScience,https://imgs.socialinsider.io/instagram/2024/06/carbonbrief_17864717529152638.jpeg,2.4533,2024-06-18 17:18:00,IMAGE,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_6.jpeg
China generated more electricity from solar power in May 2024 alone than most countries did in the whole of 2023 according to data analysed by Carbon Brief.  As shown in the chart China generated 94 terawatt hours (TWh) from solar in May 2024 while in all of 2023 India only generated 113 TWh and Japan 97 TWh.  If China s current rapid wind and solar deployment continues then its CO2 output from coal is likely to continue falling making 2023 the peak year for the country s emissions.  To learn more about China s progress in clean energy click the link in our bio.#ChinaEnergy #ChinaPolicy #FossilFuel #Renewables,https://imgs.socialinsider.io/instagram/2024/07/carbonbrief_17932995623894390.jpeg,2.40254,2024-07-17 18:01:00,IMAGE,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_7.jpeg
A global treaty on plastics being negotiated in  South Korea next week could have important implications for climate change.  The production use and disposal of plastics is responsible for around 5% of global greenhouse gas emissions and they are typically made from fossil fuels.  Carbon Brief analysis shows that without any agreement to cut plastic production emissions from plastics could consume half of the remaining carbon budget for limiting warming to 1.5C above pre-industrial levels. One expert tells Carbon Brief that the best outcome possible for the negotiations is to ratify a global target to limit plastics production coupled with legally binding national targets. However she warns that oil-producing countries are likely to veto any such proposal. Click the link in our bio for more on why the plastics treaty matters for climate change.#Plastics #ClimateChange #FossilFuel #Emissions,https://imgs.socialinsider.io/instagram/2024/11/carbonbrief_18083135545552955.jpeg,2.21327,2024-11-27 17:54:00,CAROUSEL_ALBUM,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_8.jpeg
There is a 95% probability that this year will surpass 2023 as the warmest year on record Carbon Brief analysis indicates.  This projection emerges amid a series of climate extremes that have marked the first half of 2024.  For example the first six months of 2024 have each set new temperature records extending an already remarkable streak of 13 consecutive record-breaking months dating back to 2023.  The chart shows a heat map of daily global average temperatures since 1940 in the Copernicus/ECMWF ERA5 dataset. The temperatures are represented by colours ranging from blue (-2C) to red (+2C) with the pre-industrial average (1850-1900) set to 0C.Click the link in our bio for the full analysis.#ExtremeWeather #ClimateChange #GlobalWarming #TemperatureRecord #GlobalTemperature,https://imgs.socialinsider.io/instagram/2024/08/carbonbrief_18032479127278191.jpeg,2.08108,2024-08-13 15:56:00,IMAGE,Posts_carbonbrief_18_Apr_2024_17_Apr_2025_2db6 6_CLEANED_9.jpeg
