Caption,Image Link,Eng. Rate by Followers,Date,Type,Image Filename
So turns out he s the savior of Christmas??...and the ultimate underconsumption hero  Content credit: sabrinaa_pare #grinch #saveschristmas #earth #eco #underconsumption #hero #christmas,https://imgs.socialinsider.io/instagram/2024/12/earthdaynetwork_17877350595220271.jpeg,4.50046,2024-12-24 15:07:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_0.jpeg
There s something about a powerful quote set against the beauty of Earth s landscapes that really hits us right in the feels. It s the perfect reminder to take action and appreciate the world around us.We   the Big Blue.  EARTHDAY.ORG  #OurPowerOurPlanet #EarthActionDay #collectiveaction Repost via ofhousesandtrees.com Author: Larissa Swayze   credits: Photo 1:  If you really think the economy is more important than the environment try holding your breath whilst you count your money.    Dr Guy McPherson (Image Credit: Pinterest)Photo 2:  When we destroy something created by man we call it vandalism but when we destroy something by nature we call it progress. - Ed Begley Jr (Image Credit: Pinterest)Photo 3:  The earth does not belong to man. Man belongs to the earth.    Chief Seattle (Image Credit: Pinterest)Photo 4:  I don t want to protect the environment. I want to create a world where the environment doesn t need protecting.    Unknown (Image Credit: Pinterest)Photo 5:  UNLESS someone like you cares a whole awful lot nothing is going to get better. It s not.    Dr Suess (Image Credit: Pinterest),https://imgs.socialinsider.io/instagram/2025/04/earthdaynetwork_18019015538505708.jpeg,1.43846,2025-04-09 20:45:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_1.jpeg
Ever wonder where your clothes go when you re done with them?Every year millions of tons of fashion waste from the Global North overwhelm countries in the Global South.Kenya alone receives over 220000 tons much of it too damaged to wear or resell. Fast fashion isn t made to last but its impact does.  Legislation is key to fixing fashion s biggest problems stay informed with EARTHDAY.ORG s new legislation tracker (link in bio)! And follow chemiteijanet and earthdaynetwork for more content on fashion waste sustainability and more!,https://imgs.socialinsider.io/instagram/2025/02/earthdaynetwork_18058735171836333.jpeg,1.21793,2025-02-18 14:50:00,reel,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_2.jpeg
Even when the challenges feel huge taking action is one of the most powerful ways to drive change.56 years after the first Earth Day vital protections are being rolled back clean energy is stalling and profits are prioritized over people and the planet.This isn t just politics it s about our health our future and our right to a livable world.We ve made change before and we can do it again. Let s rise together.  Take action visit the Earth Day 2025 link in bio. What are your plans for Earth Day?   #EarthActionDay #OurPowerOurPlanet #earthday2025 #earthday #collectiveaction #takeaction #action,https://imgs.socialinsider.io/instagram/2025/04/earthdaynetwork_17972737034713961.jpeg,1.18117,2025-04-04 22:58:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_3.jpeg
The fashion industry especially fast fashion has operated with little oversight for decades leading to severe environmental damage from pollution to deforestation and oceanic microplastic contamination. Human rights abuses like labor exploitation and unsafe working conditions are rampant across supply chains.  The average person buys 53 new pieces of clothing every year enough to dress the next six generations. Let that sink in.Whats missing? Accountable data-driven policies to break the cycle of overconsumption.Its time for #FashionLegislationNow. Explore our new report on the laws in progress and those still needed for meaningful change in the fashion sector. Link in bio :futureearth (  still via: Buy Now on netflix ),https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18053353514019129.jpeg,1.14366,2025-01-20 17:45:00,IMAGE,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_4.jpeg
Oil and gas CEOs know they re causing disasters yet they fight clean energy spread lies and bribe politicians to keep $757 BILLION in fossil fuel subsidies. How much longer will we let this happen? : sunrisemvmt #EndFossilFuelSubsidies #ActOnClimate,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18102142951483328.jpeg,1.02773,2025-01-08 21:18:00,IMAGE,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_5.jpeg
When governments fall short leaders like Michael Bloomberg step up.   By funding the U.N. climate body (UNFCCC) after Trump s withdrawal from the Paris Agreement Bloomberg ensures that vital climate talks and progress continue. We deeply appreciate the generous support from Bloomberg Philanthropies and the leadership shown by Mike Bloomberg  said Simon Stiell U.N. climate chief. Last year Bloomberg Philanthropies contributed $4.5 million to the UNFCCC supporting a core budget of 240 million euros for 2024-2025. As U.S. federal action falters Bloomberg s leadership highlights the power of private philanthropy to fill the gap and keep global climate goals alive. This isnt just about funding its about action. Cities states businesses and individuals must come together to ensure a sustainable future.     Feeling overwhelmed? Stand up. Speak up. Show up. What will you do to protect our planet?Visit EARTHDAY.ORG today. #ClimateAction #Sustainability #Leadership #GlobalGoals #EarthDay2025 #renewableenergynow #ourpowerourplanet,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_17998037099586854.jpeg,1.00308,2025-01-23 21:25:00,IMAGE,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_6.jpeg
Trump s decision to reverse the phase-out of plastic straws for paper alternatives isn t just environmentally reckless it s a direct threat to human health.  Plastic straws contribute to the 8 million tons of plastic waste polluting our oceans each year threatening marine life and ecosystems. But the damage doesn t stop at wildlife microplastics have made their way into our water food and even our bodies. A study in Nature Medicine found elevated concentrations of microplastics in human brains raising alarms about their potential link to neurological diseases. Research from the University of New Mexico Health Sciences reveals brain plastic levels have surged by 50% over the past 8 years with dementia patients showing up to 10 times the levels found in others. There s enough plastic in our brains to form a straw. As toxicologist Matthew Campen said  These nanomaterials could interfere with brain connections and may even contribute to dementia.By promoting plastic straws Trump is ignoring science and prioritizing convenience over public health. The risks are real and this decision threatens future generations. At this point his brain should come with a BPA warning  Take action sign the Global Plastics Treaty petition through the link in our bio,https://imgs.socialinsider.io/instagram/2025/02/earthdaynetwork_18083995183600075.jpeg,0.66161,2025-02-11 00:54:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_7.jpeg
Rethinking invasive The way we treat nature shows what we value. This image is a reminder that our planet s future depends on our choices. It s time to step up. Take action today and join us for Earth Day 2025. Link in bio.  *WE DO NOT OWN THE RIGHTS TO THIS IMAGE*,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18010350950696225.jpeg,0.65764,2025-01-30 19:46:00,IMAGE,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_8.jpeg
We work year-round to protect our planet but we can t do it alone. We need your help today and every day. Take action for Earth Day 2025. Link in bio #EarthDayEveryDay #TakeAction #LoveEarth #ProtectOurPlanet #OurPowerOurPlanet #EarthActionDay #collectiveaction #earth,https://imgs.socialinsider.io/instagram/2025/04/earthdaynetwork_18070910800895213.jpeg,0.64075,2025-04-13 16:44:00,reel,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_9.jpeg
President Biden has permanently banned offshore oil and gas drilling in 625 million acres of U.S. ocean protecting Atlantic Pacific and Gulf Coast ecosystems. This decision safeguards marine life and coastal communities from the risks of drilling.While some debate the economic impact experts say it won t affect oil production significantly but it strengthens environmental health and coastal resilience.This move proves we can protect our planet while securing a sustainable future. Let s keep pushing for cleaner safer energy! Sign the renewable energy now petition with the link in our bio   #RenewableEnergyNow #OurPowerOurPlanet #POTUS,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18053179505290498.jpeg,0.58966,2025-01-07 21:42:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_10.jpeg
As the climate crisis worsens Big Oil is doubling down spending billions to secure fossil fuel production into the 2030s. ExxonMobil and Chevron made massive acquisitions while ignoring renewable energy investment and focusing on oil and gas.Here s the kicker: Taxpayers are footing the bill for new oil wells and the cleanup of pollution left behind. Big Oil prioritizes profits over the planet and your future.  In 2023 Big Oil spent $113.8 billion on stock buybacks during the hottest year on record while global temperatures surpassed 1.5 C for the first time.This isn t just a tragedy it s a crime. Big Oil knew but chose to ignore the warnings. Now we re left with the consequences.Even if you don t believe in climate change your tax dollars are funding the cleanup.  Its time for change. Join us for Earth Day 2025 and demand accountability from Big Oil and fight for renewable energy.#ClimateCrisis #BigOil #RenewableEnergy #EarthDay2025 #ClimateJustice #FossilFuelGreedSlide two: Figures from September 2023 to September 2024Source: nrdc_org  Big Oil Made Billions Amid the Hottest Year on Record,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18097976692495104.jpeg,0.54696,2025-01-10 17:39:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_11.jpeg
Repost via 5gyres Yes it s THAT simple  Just head to the Earth Day 2025 link in our bio to find resources actions and more ways you can take action for Earth Day and every day.#OurPowerOurPlanet #EarthActionDay #EarthDay2025 #earthday #collectiveaction #peoplepower   earthlyeducation earthlyguy,https://imgs.socialinsider.io/instagram/2025/04/earthdaynetwork_18055470605326360.jpeg,0.53247,2025-04-08 21:34:00,IMAGE,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_12.jpeg
California s wildfires are becoming longer more extreme and less predictable fueled by climate change and the burning of fossil fuels. The connection is clear: rising global temperatures are intensifying fire weather conditions leaving communities vulnerable.Our hearts are with the L.A. community where over 3000 acres have been devastated by wildfires driven by rare winds and extreme dryness. Thousands have been forced to evacuate and heroic firefighters are risking everything to protect lives and homes.Climate change isn t just a distant problem it s a series of disasters coming closer to all of us. Let s work together to end reliance on fossil fuels and fight for a safer more sustainable future.  Want to take action today? Sign our Renewable Energy Now petition with the link in our bio.  Video by: weatherchannel #ClimateChange #Wildfires #RenewableEnergy #ActOnClimate #LAFires #ClimateAction #fossilfuels,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18082865620510421.jpeg,0.49348,2025-01-08 19:19:00,reel,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_13.jpeg
Our impact. Our action. Our planet. Our power.We can t purchase a new planet   but we can protect the one we share.When we act together we create real change.   Help us continue the fight for a cleaner safer future.Consider donating to EARTHDAY.ORG   link in bio.#OurPowerOurPlanet #EarthActionDay #EarthDay #EarthDay2025,https://imgs.socialinsider.io/instagram/2025/04/earthdaynetwork_18038160770261656.jpeg,0.4679,2025-04-16 22:02:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_14.jpeg
Every year on April 22 we celebrate Earth Day the birth of the modern environmental movement in 1970.   What began as a call to action against pollution has grown into a global force for a healthier planet. Inspired by Rachel Carson s Silent Spring the first #EarthDay ignited a movement mobilizing millions to demand environmental protections.And we are the organization behind it all. We are Earth Day. Over 50 years later the fight continues. Be part of the movement take action today with the Earth Day 2025 link in our bio   #OurPowerOurPlanet #EarthActionDay #earthday2025,https://imgs.socialinsider.io/instagram/2025/03/earthdaynetwork_17845845327414760.jpeg,0.42717,2025-03-11 20:25:00,reel,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_15.jpeg
A highway through the Amazon for a climate summit?   Tens of thousands of acres of protected rainforest are being cleared to build a four-lane road for COP30 in Bel m Brazil. While the government calls it a sustainable highwayconservationists say it contradicts the very mission of the summit and environmental work.Thoughts?   #COP30 #AmazonRainforest #Deforestation #ClimateCrisis #EarthActionDay #OurPowerOurPlanet #EarthDay2025,https://imgs.socialinsider.io/instagram/2025/03/earthdaynetwork_18075469765692382.jpeg,0.42584,2025-03-12 21:27:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_16.jpeg
EARTHDAY.ORG pays tribute to the extraordinary life of President Jimmy Carter who will be laid to rest on January 9 2025. Carter s lifelong commitment to peace and his visionary leadership on renewable energy leave a lasting impact. His early advocacy for solar energy resonates deeply with our mission  says Kathleen Rogers President of EARTHDAY.ORG noting its alignment with the 2025 Earth Day theme Our Power Our Planet.Amid the 1970s energy crisis Carter boldly championed renewables aiming for 20% of U.S. energy from renewable sources by 2000.  If he d had a second term our climate and prosperity would look very different today  recalls Denis Hayes Earth Day s first organizer.We honor his vision for a cleaner future and extend condolences to his family. May his legacy continue to inspire.#jimmycarter #renewableenergy #earthday #climateaction #ourpowerourplanet,https://imgs.socialinsider.io/instagram/2025/01/earthdaynetwork_18482277310038396.jpeg,0.41854,2025-01-09 12:41:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_17.jpeg
56 years of #EarthDay. Our planet at a tipping point.While leaders roll back protections and fuel the #climatecrisis we know where real power lies with us. Our Power Our Planet isn t just about renewable energy it s about people power.This Earth Day take action. Educate advocate and mobilize because the fight for a livable planet starts with collective action.  Join the movement. Link in bio.#EarthActionDay #OurPowerOurPlanet #EarthDay55 #EarthDay2025Inspo via: cleanairmoms,https://imgs.socialinsider.io/instagram/2025/03/earthdaynetwork_17903068662156126.jpeg,0.4073,2025-03-18 20:16:00,CAROUSEL_ALBUM,Posts_earthdaynetwork_18_Apr_2024_17_Apr_2025_3500_CLEANED_18.jpeg
