Caption,Image Link,Eng. Rate by Followers,Date,Type,Image Filename
Nature has rights!  Aruba has drafted a constitutional amendment that would make it the second country in the world to recognize that nature has inherent rights. The amendment also affirms that people are entitled to a  clean healthy and sustainable environment . The draft bill was announced by the country s nature minister Ursell Arends earlier this month. It would require the government to  take preventive measures to protect against the negative consequences of climate change. If the amendment is approved Aruba will be the second nation in the world after Ecuador to recognize the rights of nature in its constitution. About 30 countries   including Uganda Bolivia and Spain   have recognized the inherent rights of particular species or ecosystems.This potential amendment will also be the first time Aruba has altered its constitution since 1986. Aruba s constitutional amendment would also require that the government periodically look at the state of the environment and issue reports every five years.Plastic pollution overfishing and waste generated in great part by visitors are some of the environmental impacts facing the small island nation. Aruba is also experiencing increasing sea level rise coastal erosion and ocean acidification due to climate change.  Link in bio.  cristenhemingwayjaynes.Aerial view of Aruba s Eagle Beach.   cdwheatley / E+ / Getty Images.#ecowatchers #climatenews #climatechange #globalwarming #aruba #nature #naturerights #constitution,https://imgs.socialinsider.io/instagram/2024/04/ecowatch_18020637545177843.jpeg,11.21212,2024-04-18 20:55:00,IMAGE,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_0.jpeg
Social Media Star  sea turtle   successfully rescued rehabilitated and released off the Florida Keys! In June 2024 Harlow a sub-adult loggerhead sea turtle was found floating unable to dive emaciated and encrusted in barnacles.  Her eyes were sunken in her blood levels were critically low and she was literally on the brink of death  said The Turtle Hospital s manager Bette Zirkelbach.  Harlow had an intense recovery journey with blood glucose treatments barnacle removal fluids antibiotics and supplemented IV nutrition. The Turtle Hospital s expert care worked and Harlow made a full recovery. Millions tuned in on social media to cheer her on as she got stronger and stronger. On December 21st 2024 Harlow was released off Marathon FL. To keep her millions of fans updated on her journey she was fitted with a small transmitter satellite tag. Follow her on The Marathon Turtle Hospital s website http://www.turtlehospital.org (  link in bio).   Three cheers for another sea turtle success story!   Special thanks to Florida Keys News Bureau thefloridakeys for the coverage  editor: brynnerardin.#ecowatchers #climatenews #climatechange #globalwarming #florida #floridakeys #marathon #turtle #seaturtle #turtlehospital #rescue #rehab #release,https://imgs.socialinsider.io/instagram/2025/01/ecowatch_18055725308314431.jpeg,2.11359,2025-01-30 19:56:00,reel,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_1.jpeg
Prime Minister of Greece Kyriakos Mitsotakis has announced plans to invest 780 million euros (about $829 million) for marine conservation and pollution cleanup. The country will pursue 21 marine conservation initiatives with the money.As reported by Reuters some of the initiatives will include the development of two marine parks: one will be located in the Ionian Sea and the other park will be established in the Aegean Sea. The exact borders will be determined following a scientific review expected to be complete by 2025. The parks will cover about 32% of the country s waters.With 29417 islands and over 20700 kilometers (over 12862 miles) of coastline Greece relies on the seas surrounding its islands. Marine conservation is important for the country s culture and economy but Mitsotakis also noted that efforts to protect the seas around Greece will contribute to the country s efforts to curb the effects of climate change.Greece plans to address some of these ocean conservation and climate concerns through Marine Protected Areas sustainable fisheries offshore wind development enhanced maritime security decarbonization of maritime transportation and sustainable tourism models. Greece also plans to reduce plastic pollution by 50% and microplastic pollution by 30% by the end of this decade.  Link in bio.  Paige Bennett.A coral reef in Greece s Ionian Sea.   ultramarinfoto / iStock / Getty Images Plus .#ecowatchers #climatenews #climatechange #globalwarming #greece #marineconservation #marinedebris #plastic,https://imgs.socialinsider.io/instagram/2024/05/ecowatch_18040159021856054.jpeg,0.85001,2024-05-30 18:13:00,IMAGE,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_2.jpeg
California is tackling the problem of textile and fashion waste with the country s first law that requires clothing companies to implement a recycling system for the garments they sell.Governor Gavin Newsom recently signed SB 707 the Responsible Textile Recovery Act. The new law requires a clothing apparel and textile extended producer responsibility (EPR) program as defined by lawmakers. The landmark bill passed with wide support from state legislators.Fashion consumers in California will now have the option of bringing damaged and unwanted clothing and other textiles to collection sites   including thrift stores and charities   to be sorted and recycled.The new law mandates that producers of clothing bedding towels and upholstery administer and fund the repair reuse and recycling of their products statewide.  Link in bio.  cristenhemingwayjaynes.  Piotr Lapinski / NurPhoto via Getty Images.#ecowatchers #climatenews #climatechange #globalwarming #california #clothing #textile #fashion #fastfashion #waste #recycling,https://imgs.socialinsider.io/instagram/2024/10/ecowatch_18001601972665091.jpeg,0.82142,2024-10-05 18:30:00,IMAGE,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_3.jpeg
Without greater action the planet will warm as much as 3.1 degrees Celsius by the end of the century according to the latest United Nations Environment Programme (UNEP) Emissions Gap Report. In the coming round of Nationally Determined Contributions (NDCs) countries must commit to slashing their collective yearly greenhouse gas emissions by 42 percent by the end of the decade and by 57 percent by 2035 a press release from UNEP said.Otherwise the annual report says the chance of meeting the Paris Agreement goal of keeping global heating to 1.5 degrees Celsius above the pre-industrial average will disappear within a few years.The report found that failing to increase the ambition of new NDCs and immediately starting to deliver on them would place the planet on a course for an increase in temperature from 2.6 to 3.1 degrees Celsius this century bringing debilitating impacts to people the environment and economies.The report also looked at what would be needed to limit global heating to less than two degrees Celsius. For this to be possible emissions would need to fall by 28 percent by the end of the decade and 37 percent by 2035 compared to 2019 levels.  Link in bio.  cristenhemingwayjaynes.A climate advocate stands on the side of the road while others block the A12 Motorway the main road leading to The Hague during a protest against fossil fuel subsidies in The Hague Netherlands on Sept. 20 2023.   Michel Porro / Getty Images .#ecowatchers #climatenews #climatechange #globalwarming #climatecrisis #greenhousegasses #emissions #parisagreement,https://imgs.socialinsider.io/instagram/2024/10/ecowatch_18008101208650070.jpeg,0.70135,2024-10-30 17:30:00,IMAGE,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_4.jpeg
Mexico City could be just weeks away from Day Zero the day when the city runs out of water supplied by the Cutzamala water system. Water reservoirs in the city recently hit historic lows and amid ongoing drought conditions and a heat dome the city could face Day Zero by June 26  The Cutzamala water system supplies about 25% of Mexico City s water while about 60% comes from underground aquifers that are over-exploited and have had issues dating back to the 16th century.As of March 2024 the Cutzamala water system reached a historic low of about 38% capacity.Starting October 2023 Mexico City began tightening the amount of water supplied by the Cutzamala system and reducing the flow rate. The city has also called on citizens to drastically cut back on water usage.However while water conservation by the public has helped in similar crises including one made famous in Cape Town South Africa in 2018 Mexico City also faces major water losses from its infrastructure. As Fast Company reported about 40% of the city s water is lost through leaks and additional water is lost to theft as organized crime groups steal public water for agricultural use or to resell back to the public at inflated rates.Without rain Day Zero is expected to come by June 26.The rainy season is expected to begin in June. But many citizens have already reported water shortages and some neighborhoods have experienced water scarcity for years.  Link in bio.  Paige Bennett.A man walks on a bridge crossing the river in the Villa Victoria dam that heads to the Cutzamala System to supply water to Mexico City in Villa Victoria Mexico on Feb. 28 2024.   Hector Vivas / Getty Images.#ecowatchers #climatenews #climatechange #globalwarming #mexico #mexicocity #water,https://imgs.socialinsider.io/instagram/2024/06/ecowatch_18034805830938414.jpeg,0.66324,2024-06-06 06:30:00,IMAGE,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_5.jpeg
Los Angeles County filed a lawsuit against PepsiCo and Coca-Cola on October 30 arguing that the companies misled the public on product recyclability and the impact of plastic pollution on the environment.According to the lawsuit as documented by Reuters the county is filing a suit for public nuisance and violations of unfair competition law and false advertising law and is seeking injunctive relief restitution abatement and civil penalties.In the lawsuit the county argues that PepsiCo and Coca-Cola were intentionally misleading about the recyclability of plastic beverage containers and the lawsuit alleges that the companies knew that the plastic beverage containers could not be thrown out or recycled without impacting the environment. The county also noted that making throwing out and recycling plastic all still contribute to greenhouse gas emissions and negatively impact the environment.According to Break Free From Plastic s 2023 Global Brand Audit which was released in February 2024 Coca-Cola is the top plastic polluter globally a position it has held for six consecutive years based on the audit. The lawsuit also stated that these two companies are some of the world s top plastic polluters and alleges their plastic bottles have littered the county accumulating on land and in waterways to threaten wildlife and public health and costing the county resources to clean up the mess.  Link in bio.  Paige Bennett. Los Angeles County is suing PepsiCo and Coca-Cola over plastic pollution and recycling claims.   VICHAILAO / iStock / Getty Images Plus.#ecowatchers #climatenews #climatechange #globalwarming #losangeles #califonia #pepsico #cocacola #plastic #pollution,https://imgs.socialinsider.io/instagram/2024/11/ecowatch_18091946812501338.jpeg,0.54507,2024-11-12 18:30:00,IMAGE,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_6.jpeg
A new report has found that climate lawsuits being filed against companies are on the rise all over the world and most of them have been successful  The report by the Grantham Research Institute on Climate Change and the Environment at the London School of Economics and Political Science (LSE) said that roughly 230 climate cases have been brought against trade associations and corporations since 2015 more than two-thirds of which have been filed since 2020.One of the fastest growing types of litigation concerns  climate washing.  According to the report 47 of these lawsuits were filed against governments and companies last year.The report stated that there had been  more than 140 such cases filed to date on climate washing making this one of the most rapidly expanding areas of litigation  a press release from LSE said. Of the almost 140 climate-washing cases between 2016 and 2023 77 had reached official decisions with 54 being found in favor of the claimant.Most climate cases that have been filed in the past have been against governments. In the United States 15 percent of climate cases filed in 2023 were against companies while 40 percent of cases in the rest of the world involved companies.The report s analysis was based on more than 2600 climate cases compiled by Columbia Law School s Sabin Center for Climate Change. Approximately 70 percent of these lawsuits have been filed since the adoption of the Paris Agreement in 2015 with 233 having been filed in 2023.  Link in bio. cristenhemingwayjaynes.Campaigners and legal counsel of the Dutch citizens  movement Fossil-Free NL walk towards the court before filing a case against KLM because of the Dutch airline s misleading advertisements that suggest flying won t worsen the climate crisis on April 20 2023 in Amsterdam the Netherlands. Michel Porro / Getty Images.#ecowatchers #climatenews #climatechange #globalwarming #lawsuit #climatelawsuit #climatewashing #parisagreement,https://imgs.socialinsider.io/instagram/2024/07/ecowatch_17929122368899425.jpeg,0.52411,2024-07-08 18:30:00,IMAGE,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_7.jpeg
Oxygen concentrations in the waters of our planet are rapidly decreasing threatening ecosystems as well as the livelihoods of many.In a new study an international team of researchers are calling for oxygen loss in bodies of water to be recognized as a planetary boundary so that it can be more effectively addressed. As oxygen is a fundamental requirement of all life on Earth oxygen loss in water   deoxygenation   threatens all living creatures.If critical thresholds of global scale processes known as  planetary boundaries  are crossed the risk of abrupt large-scale or irreversible changes to the environment    tipping points    increases jeopardizing our planet s resilience.The study s authors argue that aquatic deoxygenation responds to and regulates the processes of the nine established planetary boundaries which include climate change biodiversity loss and land use change.Since 1980 reservoirs and lakes have had oxygen losses of 18.6 and 5.5 percent respectively. The ocean has experienced roughly a two percent oxygen loss since 1960 which represents an extensive amount due to its enormous volume.The authors of the study warned that the planet is approaching critical aquatic deoxygenation thresholds that will eventually impact several other planetary boundaries.  Link in bio.  cristenhemingwayjaynes.Schooling surgeonfishes in the Meemu Atoll Maldives Indian Ocean.   Reinhard Dirscherl / ullstein bild via Getty Images.#ecowatchers #climatenews #climatechange #globalwarming #oxygen #oxygenloss #planetaryboundary #tippingpoint,https://imgs.socialinsider.io/instagram/2024/07/ecowatch_18134348524343915.jpeg,0.50314,2024-07-31 18:30:00,IMAGE,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_8.jpeg
Indigenous leaders of New Zealand Tonga French Polynesia and the Cook Islands signed a treaty that recognizes whales as legal persons  For many Indigenous groups across Polynesia whales hold an ancient sacredness and spirit that connects all life. Whales   or tohor  as M ori call them   guided their ancestors across the Pacific Ocean. Today those groups consider themselves to be guardians for the largest animals under the sea.But as of recent whales are not simply animals in this region and instead are viewed as legal persons. Conservationists hope this will lead to legal protections. A number of types of whales are found in the Pacific Ocean including blue gray minke sperm southern right and of particular importance to M ori humpback. And while there is some protection for the mammals within the Southern Ocean Whale Sanctuary where the International Whaling Commission has banned all types of commercial whaling there is no formal legislation.Proposed legislation from this treaty would be built around several pillars: monitoring penalties for killing whales and even whale insurance. A $100 million fund will back the initiative. : brynnerardin.#ecowatchers #climatenews #climatechange #globalwarming #whales #personhood #legislation #polynesia #indigenous #ocean,https://imgs.socialinsider.io/instagram/2024/06/ecowatch_18254651473221029.jpeg,0.4879,2024-06-04 18:30:00,reel,Posts_ecowatch_18_Apr_2024_17_Apr_2025_d967_CLEANED_9.jpeg
