Caption,Image Link,Eng. Rate by Followers,Date,Type,Image Filename
When we use our voices we can help preserve oceans lands communities and climate. And there s never been a more urgent time to protect our planet. Speak up for nature.,https://imgs.socialinsider.io/instagram/2024/10/nature_org_18356022589136575.jpeg,0.74318,2024-10-20 20:01:00,CAROUSEL_ALBUM,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_0.jpeg
Its not every day you see an octopus hitching a ride on a dolphin!   #WorldOctopusDay : Jodie Lowe/TNC Photo Contest 2021 (jodie_lowe88),https://imgs.socialinsider.io/instagram/2024/10/nature_org_17881649034070547.jpeg,0.66807,2024-10-08 21:01:00,IMAGE,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_1.jpeg
What dives deeper than a submarine swims across oceans is covered in polka-dots and has a mouth straight out of a horror movie?  Swipe to find the answer. Well wait... Those teeth!  Leatherback sea turtles are one of natures deep-diving superstars and can stay submerged for around 90 minutes on a single breath. But lets talk about their TEETH!! Take a peak down a leatherback s throat and youll be greeted with a scene straight out of a horror movie. Their esophagus is coated with backward-curved spines called esophageal papillae. Leatherback turtles swallow a lot of seawater as they chomp down on jellyfish and the pallipae help hold their prey in place as the turtles expel that extra seawater back out of their mouths. Tap the link in our bio to learn more about these wild and wonderful creatures! : Rach Devlin/iNaturalistazure27014/iNaturalist,https://imgs.socialinsider.io/instagram/2024/06/nature_org_18052704607653877.jpeg,0.65127,2024-06-02 14:56:00,CAROUSEL_ALBUM,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_2.jpeg
As you finalize your New Year s resolutions vision boards and bingo cards we ask that you make nature one of your top priorities. Our planet is facing enormous challenges but together we have the power (and the responsibility!) to take action and protect our environment. How will you make a difference for nature this year? Swipe to read some of our suggestions and share your ideas in the comments!,https://imgs.socialinsider.io/instagram/2025/01/nature_org_18480021613044584.jpeg,0.64015,2025-01-06 15:31:00,CAROUSEL_ALBUM,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_3.jpeg
Happy Earth Day!!  Today we are filled with hope   thanks to the dedication of so many people like you who are shaping a brighter future for our beautiful planet. This year we re especially inspired by the young changemakers who are turning their words into actions and finding new ways to help. There s an environmental leader in all of us!If you re feeling inspired this #EarthDay join the movement with actions you can take right now via the link in our bio. :1. Teguh Tofik Hidayat/TNC Photo Contest 20232. Cerro Eram n Chalatenango El Salvador. 7 de Julio de 20193. Jordan Robins /TNC Photo Contest 20194. Jonathan Morris/TNC Photo Contest 20225.    /Lei Bo /TNC Photo Contest 20236. Karine Aigner,https://imgs.socialinsider.io/instagram/2024/04/nature_org_17887147143019162.jpeg,0.58873,2024-04-22 15:30:00,CAROUSEL_ALBUM,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_4.jpeg
Oh the weather outside is frightful. But nature is so delightful.  Heading out into the snow? Make sure to bundle up! And take a moment to appreciate how nature and wildlife thrive in a winter wonderland.  : 1. Great grey owl. rogerandjennyphotography/TNC Photo Contest 20222. Eibsee Germany. c.ronald.photo/TNC Photo Contest 20193. Blue jay. Jessica Kirste/TNC Photo Contest 20154. Hollow Rock Minnesota. justinrogers/TNC Photo Contest 20195. Bison. Gage Graus6. Cascada del Estrecho Spain. Roberto Bueno/TNC Photo Contest 20217. Vancouver Island. Anna Anderson/TNC Photo Contest 2021,https://imgs.socialinsider.io/instagram/2025/01/nature_org_17934104048969540.jpeg,0.53536,2025-01-07 13:16:00,CAROUSEL_ALBUM,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_5.jpeg
Suspect thinks hes a rough and tumble guy when we all know his purpose in life is to be the cuddly friend.  : Shane Morrison/TNC Photo Contest 2022,https://imgs.socialinsider.io/instagram/2024/11/nature_org_18055401187928942.jpeg,0.51965,2024-11-26 00:30:00,IMAGE,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_6.jpeg
Every act of generosity   big or small   helps us protect our planet and all the creatures who call it home. This holiday season we re asking you to help protect nature any way you can. Participate in a local river cleanup. Speak up for nature at your city council meetings. Or become a member of The Nature Conservancy at the link in our bio.,https://imgs.socialinsider.io/instagram/2024/12/nature_org_18018353384343045.jpeg,0.50496,2024-12-03 15:01:00,CAROUSEL_ALBUM,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_7.jpeg
It s time to celebrate! The U.S. Foundation for International Conservation Act was just passed by Congress.   TNC has been championing this bill for over a year. Here s why it s a big deal.  It will invest up to $100 million in public funding a year to accelerate conservation efforts in wildlife rich yet vulnerable parts of the world.  The funding will support Indigenous Peoples and local communities helping them better manage their conserved and protected areas.  It will boost U.S. national security and promote regional stability worldwide because political stability depends on the stability to the natural world.So yeah it s a huge win for people and the planet!Learn more with the link in our bio! :1. Lakshitha Karunarathna/TNC Photo Contest 20232. Sarah Waiswa (lafrohemien)3. Robert L. Keyser/TNC Photo Contest 20164. Bayar Balgantseren5. Nick Hall,https://imgs.socialinsider.io/instagram/2024/12/nature_org_18026019779288093.jpeg,0.49524,2024-12-18 20:39:00,CAROUSEL_ALBUM,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_8.jpeg
The Guam kingfisher native to the island of Guam became extinct in the wild in 1988 following the introduction of the invasive brown snake. For decades the species has survived only in conservation zoos and other wildlife facilities. But this summer nine Guam kingfishers were relocated to The Nature Conservancy s Palmyra Atoll Preserve within the Palmyra Atoll National Wildlife Refuge where they are being rewilded. They re not  home  yet but this marks a hopeful new step for their eventual return to their native landscape. Head to the link in our bio to learn more about this remarkable species and their road to recovery.,https://imgs.socialinsider.io/instagram/2024/10/nature_org_18010349201450773.jpeg,0.48637,2024-10-25 14:01:00,CAROUSEL_ALBUM,Posts_nature_org_18_Apr_2024_17_Apr_2025_7883_CLEANED_9.jpeg
