Image Filename,Caption,Cleaned Caption
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_0.jpeg,Want to save money DOGE? Stop giving billions to fossil fuels. #StandForScience,want to save money doge stop giving billions to fossil fuels #standforscience
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_1.jpeg,We can t afford to backtrack on progress. The science is clear the solutions are here but we need you. As the US withdraws from the Paris Agreement we must push forward. Join the Climate Reality Leadership Corps and discover upcoming trainings and events in 2025. Together we can ignite bold climate ambition and real action to address the climate crisis. Find a training near you and sign up today. Link in our bio.,we can t afford to backtrack on progress the science is clear the solutions are here but we need you as the us withdraws from the paris agreement we must push forward join the climate reality leadership corps and discover upcoming trainings and events in 2025 together we can ignite bold climate ambition and real action to address the climate crisis find a training near you and sign up today link in our bio
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_2.jpeg,Rejoining the Paris Agreement making the biggest climate investment in history cleaning up our air creating good jobs and putting us on the path to a clean energy future. Thank you potus for delivering on climate.#LeadonClimate #ActonClimate #ClimateAction #POTUS #Biden,rejoining the paris agreement making the biggest climate investment in history cleaning up our air creating good jobs and putting us on the path to a clean energy future thank you potus for delivering on climate#leadonclimate #actonclimate #climateaction #potus #biden
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_3.jpeg,Hope isn t waiting or wishing it s truth told action taken and change demanded. As Greta Thunberg reminds us hope doesn t come from power it comes from people who refuse to stand still. The future is ours to shape. #ActOnClimate,hope isn t waiting or wishing it s truth told action taken and change demanded as greta thunberg reminds us hope doesn t come from power it comes from people who refuse to stand still the future is ours to shape #actonclimate
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_4.jpeg,The election is over. Our work begins. As realDonaldTrump outlines plans to rollback climate action we re prepared to counter every attack possible. We ve stood resilient against denial before and now we re more determined than ever to continue pushing harder to achieve lasting just climate solutions and a transition to clean energy. #ActOnClimate,the election is over our work begins as realdonaldtrump outlines plans to rollback climate action we re prepared to counter every attack possible we ve stood resilient against denial before and now we re more determined than ever to continue pushing harder to achieve lasting just climate solutions and a transition to clean energy #actonclimate
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_5.jpeg,With billions now being invested in a clean energy future now s the time to up your game. Get the tools you need with ClimateReality s training. Don t wait register today in the link in bio before the September 29 deadline!,with billions now being invested in a clean energy future now s the time to up your game get the tools you need with climatereality s training don t wait register today in the link in bio before the september 29 deadline
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_6.jpeg,Lets consider that for a moment. Climate change isnt just an environmental and human rights issue   its an economic one too. Inaction now means we pay later and the impact is far worse. One thing you can do today? Sign our action telling G20 nations it s time to take real #climateaction and end funding for fossil fuels: https://bit.ly/G20Subsidies or click the link in our bio.,lets consider that for a moment climate change isnt just an environmental and human rights issue its an economic one too inaction now means we pay later and the impact is far worse one thing you can do today sign our action telling g20 nations it s time to take real #climateaction and end funding for fossil fuels or click the link in our bio
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_7.jpeg,Huge climate win alert  ! As one of his final #actonclimate efforts President Biden is protecting more than 670 million acres of US lands and waters from oil and gas development. He issued two presidential memoranda to protect the US Outer Continental Shelf off the East and West Coasts the eastern Gulf of Mexico and parts of Alaskas northern Bering Sea from future oil and gas leasing. Now that s a legacy. potusClick the link in our bio to learn more!!,huge climate win alert as one of his final #actonclimate efforts president biden is protecting more than 670 million acres of us lands and waters from oil and gas development he issued two presidential memoranda to protect the us outer continental shelf off the east and west coasts the eastern gulf of mexico and parts of alaskas northern bering sea from future oil and gas leasing now that s a legacy potusclick the link in our bio to learn more
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_8.jpeg,Our founder AlGore unveiled the latest data for Climate TRACE at #COP29  a tech-driven tool to track emissions at the source uncover co-pollutants harming health and provide monthly emissions estimates. These advancements are crucial for accurately and swiftly tackling climate change. #OntheGroundCOP29,our founder algore unveiled the latest data for climate trace at #cop29 a techdriven tool to track emissions at the source uncover copollutants harming health and provide monthly emissions estimates these advancements are crucial for accurately and swiftly tackling climate change #onthegroundcop29
Posts_climatereality_18_Apr_2024_17_Apr_2025_3499 2_CLEANED_9.jpeg,Spot the difference? The presidents executive order to prop up the coal industry will mean more climate pollution   and higher electricity bills. Today it costs more to keep 99% of US coal plants running than build new solar or wind energy. #StopFundingFossilFuels #CleanEnergy #ActOnClimate,spot the difference the presidents executive order to prop up the coal industry will mean more climate pollution and higher electricity bills today it costs more to keep 99 of us coal plants running than build new solar or wind energy #stopfundingfossilfuels #cleanenergy #actonclimate
